Days,Survival,Mutant,Virus,TechRep,BiolRep
3,1,0,0,A,1
10,1,0,0,A,1
19,1,0,0,A,1
25,1,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
30,0,0,0,A,1
3,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
4,1,0,1,B,1
5,1,0,1,B,1
5,1,0,1,B,1
3,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
4,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
5,1,0,1,C,1
17,1,1,0,D,1
19,1,1,0,D,1
24,1,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
30,0,1,0,D,1
6,1,1,1,E,1
9,1,1,1,E,1
10,1,1,1,E,1
10,1,1,1,E,1
10,1,1,1,E,1
10,1,1,1,E,1
10,1,1,1,E,1
10,1,1,1,E,1
10,1,1,1,E,1
10,1,1,1,E,1
13,1,1,1,E,1
13,1,1,1,E,1
16,1,1,1,E,1
17,1,1,1,E,1
24,1,1,1,E,1
2,1,1,1,F,1
3,1,1,1,F,1
6,1,1,1,F,1
7,1,1,1,F,1
8,1,1,1,F,1
10,1,1,1,F,1
10,1,1,1,F,1
10,1,1,1,F,1
10,1,1,1,F,1
10,1,1,1,F,1
12,1,1,1,F,1
13,1,1,1,F,1
19,1,1,1,F,1
29,1,1,1,F,1
30,1,1,1,F,1
5,1,0,0,G,2
19,1,0,0,G,2
21,1,0,0,G,2
26,0,0,0,G,2
26,0,0,0,G,2
26,0,0,0,G,2
26,0,0,0,G,2
26,0,0,0,G,2
26,0,0,0,G,2
26,0,0,0,G,2
26,0,0,0,G,2
26,0,0,0,G,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
5,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
6,1,0,1,H,2
7,1,0,1,H,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
5,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
6,1,0,1,I,2
4,1,1,0,J,2
22,1,1,0,J,2
25,1,1,0,J,2
25,1,1,0,J,2
26,0,1,0,J,2
26,0,1,0,J,2
26,0,1,0,J,2
26,0,1,0,J,2
26,0,1,0,J,2
7,1,1,1,K,2
8,1,1,1,K,2
10,1,1,1,K,2
14,1,1,1,K,2
14,1,1,1,K,2
16,1,1,1,K,2
23,1,1,1,K,2
26,0,1,1,K,2
26,0,1,1,K,2
26,0,1,1,K,2
8,1,1,1,L,2
10,1,1,1,L,2
12,1,1,1,L,2
14,1,1,1,L,2
14,1,1,1,L,2
16,1,1,1,L,2
26,0,1,1,L,2
26,0,1,1,L,2
26,0,1,1,L,2
2,1,0,0,M,3
8,1,0,0,M,3
14,1,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
18,0,0,0,M,3
3,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
4,1,0,1,N,3
5,1,0,1,N,3
5,1,0,1,N,3
5,1,0,1,N,3
5,1,0,1,N,3
5,1,0,1,N,3
4,1,0,1,O,3
4,1,0,1,O,3
4,1,0,1,O,3
4,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
5,1,0,1,O,3
8,1,1,0,P,3
9,1,1,0,P,3
10,1,1,0,P,3
14,1,1,0,P,3
18,0,1,0,P,3
18,0,1,0,P,3
18,0,1,0,P,3
18,0,1,0,P,3
18,0,1,0,P,3
18,0,1,0,P,3
18,0,1,0,P,3
18,0,1,0,P,3
6,1,1,1,Q,3
6,1,1,1,Q,3
7,1,1,1,Q,3
7,1,1,1,Q,3
8,1,1,1,Q,3
11,1,1,1,Q,3
17,1,1,1,Q,3
17,1,1,1,Q,3
18,1,1,1,Q,3
18,1,1,1,Q,3
7,1,1,1,R,3
7,1,1,1,R,3
10,1,1,1,R,3
11,1,1,1,R,3
11,1,1,1,R,3
12,1,1,1,R,3
14,1,1,1,R,3
16,1,1,1,R,3
17,1,1,1,R,3
18,1,1,1,R,3
